,StaffID,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,BaseSalary,HousingAllowance,TransportAllowance,MedicalAllowance,ResearchGrant,TaxDeduction,PensionDeduction,NHFDeduction,GrossSalary,NetSalary,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory
0,STF000001,Nnamdi Azikiwe University,Physics,Abuja,Female,Senior lecturer,M.Ed,Full-time staff,43,14,566439.0,130235.0,80804.0,51454.0,121729.0,81235.3,51561.0,14649.0,950661.0,806870.0,15,3.9,0,5,11,Executive
1,STF000002,Ahmadu Bello University,Medicine,Lagos,Female,Senior lecturer,M.Ed,Part-time staff,46,20,592513.0,126210.0,64981.2,38910.0,241260.0,74624.0,51699.0,17231.0,1072228.0,928674.0,7,9.4,0,2,10,Executive
2,STF000003,University of Nigeria Nsukka,Nursing,Rivers,Female,Lecturer ii,M.Sc,Part-time staff,28,5,309288.0,107257.0,41815.0,16152.0,12866.0,34957.0,26993.0,8292.0,487378.0,417136.0,2,4.2,2,2,15,Medium
3,STF000004,University of Ilorin,English,Taraba,Female,Assistant lecturer,Ph.D,Part-time staff,33,4,222030.0,51700.0,26995.0,16052.0,11091.0,22640.0,20462.0,5706.0,327868.0,279060.0,7,5.2,2,1,0,Low
4,STF000005,Federal University of Technology Minna,Accounting,Sokoto,Female,Assistant lecturer,LL.B,Part-time staff,28,4,238627.0,67830.0,25452.0,14409.0,7929.0,28907.0,21849.0,6159.0,354247.0,297332.0,2,5.2,3,4,0,Low
5,STF000006,Federal University of Technology Minna,Statistics,Anambra,Female,Lecturer ii,Ph.D,Part-time staff,34,9,321114.0,81961.0,45622.0,20189.0,6354.0,40666.0,29566.0,8747.0,475240.0,396261.0,5,6.6,1,3,22,Medium
6,STF000007,University of Nigeria Nsukka,English,Benue,Female,Lecturer i,Ph.D,Full-time staff,43,15,441192.0,90913.0,35642.0,29919.0,16468.0,60364.3,35399.0,11577.0,614134.0,517563.0,1,5.2,0,2,2,High
7,STF000008,Federal University of Technology Minna,History,Enugu,Female,Senior lecturer,Ph.D,Full-time staff,38,15,591441.0,129613.0,61037.0,32402.0,66791.0,71515.0,59053.0,15522.2,881284.0,734788.0,4,9.9,5,5,20,High
8,STF000009,Obafemi Awolowo University,Medicine,Rivers,Male,Senior lecturer,B.Sc,Full-time staff,49,21,645759.0,141896.0,90602.0,35235.0,69346.0,70348.0,59702.0,18955.0,982838.0,833833.0,9,5.5,9,3,14,Executive
9,STF000010,Obafemi Awolowo University,Pharmacy,Kaduna,Female,Lecturer ii,LL.B,Full-time staff,30,6,305223.0,79824.0,39953.0,24568.3,33488.0,38871.0,29286.0,9066.0,484795.0,407572.0,3,6.8,3,2,17,Medium
10,STF000011,Ahmadu Bello University,Biology,Kano,Female,Professor,Ph.D,Full-time staff,51,27,930476.0,218565.0,111959.0,66712.0,176426.5,86684.0,86885.0,23450.0,1389115.0,1192096.0,12,6.3,3,1,7,Executive
11,STF000012,Obafemi Awolowo University,Education,Oyo,Female,Professor,M.Sc,Part-time staff,57,32,916664.0,261848.0,92876.0,60709.0,76974.0,120609.2,77943.0,26843.0,1409071.0,1222029.0,21,4.9,7,5,6,Executive
12,STF000013,Ahmadu Bello University,Engineering,Kaduna,Female,Professor,M.Ed,Full-time staff,61,34,1036096.0,311365.1,119376.0,64731.0,245082.0,117252.0,84380.0,28014.2,1823332.0,1592871.0,4,5.2,2,3,3,Executive
