,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
0,Nnamdi Azikiwe University,Physics,Abuja,Female,Senior lecturer,M.Ed,Full-time staff,43,14,15,3.9,0,5,11,Executive,1.0,0.4167,32.9,0.7333
1,Ahmadu Bello University,Medicine,Lagos,Female,Senior lecturer,M.Ed,Part-time staff,46,20,7,9.4,0,2,10,Executive,0.3333,0.1818,36.4,0.4762
2,University of Nigeria Nsukka,Nursing,Rivers,Female,Lecturer ii,M.Sc,Part-time staff,28,5,2,4.2,2,2,15,Medium,0.3333,0.125,11.2,2.5
3,University of Ilorin,English,Taraba,Female,Assistant lecturer,Ph.D,Part-time staff,33,4,7,5.2,2,1,0,Low,1.4,1.0,16.2,0.0
4,Federal University of Technology Minna,Accounting,Sokoto,Female,Assistant lecturer,LL.B,Part-time staff,28,4,2,5.2,3,4,0,Low,0.4,4.0,11.2,0.0
5,Federal University of Technology Minna,Statistics,Anambra,Female,Lecturer ii,Ph.D,Part-time staff,34,9,5,6.6,1,3,22,Medium,0.5,0.1304,20.6,2.2
6,University of Nigeria Nsukka,English,Benue,Female,Lecturer i,Ph.D,Full-time staff,43,15,1,5.2,0,2,2,High,0.0625,0.6667,21.2,0.125
7,Federal University of Technology Minna,History,Enugu,Female,Senior lecturer,Ph.D,Full-time staff,38,15,4,9.9,5,5,20,High,0.25,0.2381,28.9,1.25
8,Obafemi Awolowo University,Medicine,Rivers,Male,Senior lecturer,B.Sc,Full-time staff,49,21,9,5.5,9,3,14,Executive,0.4091,0.2,35.5,0.6364
9,Obafemi Awolowo University,Pharmacy,Kaduna,Female,Lecturer ii,LL.B,Full-time staff,30,6,3,6.8,3,2,17,Medium,0.4286,0.1111,15.8,2.4286
10,Ahmadu Bello University,Biology,Kano,Female,Professor,Ph.D,Full-time staff,51,27,12,6.3,3,1,7,Executive,0.4286,0.125,45.3,0.25
11,Obafemi Awolowo University,Education,Oyo,Female,Professor,M.Sc,Part-time staff,57,32,21,4.9,7,5,6,Executive,0.6364,0.7143,57.9,0.1818
12,Ahmadu Bello University,Engineering,Kaduna,Female,Professor,M.Ed,Full-time staff,61,34,4,5.2,2,3,3,Executive,0.1143,0.75,43.2,0.0857
13,University of Benin,English,Delta,Female,Senior lecturer,Ph.D,Full-time staff,42,15,5,6.9,1,2,9,Executive,0.3125,0.2,26.9,0.5625
14,University of Ilorin,Agriculture,Bauchi,Female,Lecturer ii,Ph.D,Full-time staff,32,4,6,8.3,0,5,23,Medium,1.2,0.2083,18.3,4.6
15,Federal University of Technology Minna,Accounting,Zamfara,Female,Professor,M.Tech,Full-time staff,55,33,4,3.9,4,3,22,Executive,0.1176,0.1304,40.9,0.6471
16,Federal University of Technology Minna,Statistics,Anambra,Male,Lecturer ii,Ph.D,Full-time staff,26,4,4,9.1,0,3,19,Medium,0.8,0.15,17.1,3.8
17,University of Nigeria Nsukka,Economics,Oyo,Female,Lecturer i,Ph.D,Full-time staff,41,13,3,7.9,4,2,20,High,0.2143,0.0952,23.9,1.4286
18,Abubakar Tafawa Balewa University Bauchi,Law,Plateau,Female,Associate professor,M.Phil,Part-time staff,58,29,9,4.0,1,4,12,Executive,0.3,0.3077,42.0,0.4
19,Obafemi Awolowo University,Nursing,Anambra,Female,Professor,Ph.D,Part-time staff,57,29,12,4.4,1,7,17,Executive,0.4,0.3889,45.4,0.5667
20,Ahmadu Bello University,Library science,Enugu,Female,Lecturer i,Ph.D,Full-time staff,35,13,8,6.9,3,7,5,High,0.5714,1.1667,27.9,0.3571
21,Abubakar Tafawa Balewa University Bauchi,Economics,Benue,Female,Lecturer i,Ph.D,Full-time staff,39,14,5,4.6,5,5,2,High,0.3333,1.6667,23.6,0.1333
22,University of Benin,Biology,Sokoto,Female,Associate professor,Ph.D,Visiting staff,55,27,3,7.7,2,5,14,Executive,0.1071,0.3333,37.7,0.5
23,University of Benin,Law,Bauchi,Male,Lecturer ii,Ph.D,Full-time staff,34,7,8,8.1,5,2,3,Medium,1.0,0.5,23.1,0.375
24,Obafemi Awolowo University,Education,Oyo,Female,Senior lecturer,Ph.D,Contract staff,47,18,9,5.5,4,7,4,High,0.4737,1.4,32.5,0.2105
25,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Sokoto,Female,Professor,Ph.D,Full-time staff,57,38,4,7.3,3,3,7,Executive,0.1026,0.375,49.3,0.1795
26,Nnamdi Azikiwe University,Library science,Kaduna,Female,Lecturer i,M.Sc,Full-time staff,36,15,5,9.6,4,5,16,High,0.3125,0.2941,29.6,1.0
